POSTED DATE,TRANSACTION DATE,TRANSACTION TIME,TOLL TAG # / PLATE #,EXIT PLAZA,EXIT LANE,ENTRY DATE/TIME,ENTRY PLAZA,ENTRY LANE,DEBIT(-),CREDIT(+),BALANCE,,,,,,,,,,,,,,,,,
03/07/2022,03/02/2022,07:32:07 AM,8YKN695-CA,Dumbarton Bridge,03,-,-,-,$7.00,-,$412.00,
03/07/2022,03/03/2022,08:25:19 AM,8YKN695-CA,Dumbarton Bridge,05,-,-,-,$7.00,-,$419.00,
03/05/2022,03/01/2022,08:25:03 AM,8YKN695-CA,Dumbarton Bridge,03,-,-,-,$7.00,-,$426.00,
03/04/2022,02/22/2022,05:35:20 PM,8YKN695-CA,I-880 Hesperian/238 NB,01,02/22/2022 05:26:54 PM,I-880 Whipple NB,01,$14.00,-,$433.00,
03/03/2022,02/22/2022,07:51:49 AM,01455110906,I-880 Thornton SB,01,02/22/2022 07:35:06 AM,I-880 Washington/238 Zn SB,01,$19.00,-,$447.00,
03/01/2022,02/22/2022,07:55:43 AM,8YKN695-CA,Dumbarton Bridge,06,-,-,-,$7.00,-,$466.00,
02/26/2022,02/26/2022,08:56:28 AM,01455110906,San Mateo,03,-,-,-,$7.00,-,$473.00,
02/24/2022,02/20/2022,07:26:49 AM,8YKN695-CA,Richmond,02,-,-,-,$7.00,-,$480.00,
02/18/2022,02/09/2022,08:08:20 AM,8YKN695-CA,I-880 Thornton SB,01,02/09/2022 07:53:31 AM,I-880 Washington/238 Zn SB,01,$17.75,-,$487.00,
02/17/2022,02/08/2022,06:05:23 PM,01455110906,I-880 Hesperian/238 NB,01,02/08/2022 05:57:20 PM,I-880 Whipple NB,01,$9.00,-,$504.75,
02/17/2022,02/08/2022,08:14:42 AM,8YKN695-CA,I-880 Thornton SB,01,02/08/2022 08:03:41 AM,I-880 Washington/238 Zn SB,01,$14.75,-,$513.75,
02/13/2022,02/09/2022,08:14:37 AM,8YKN695-CA,Dumbarton Bridge,05,-,-,-,$7.00,-,$528.50,
02/12/2022,02/03/2022,03:41:53 PM,01455110906,I-880 Hesperian/238 NB,01,02/03/2022 03:32:14 PM,I-880 Whipple NB,01,$10.75,-,$535.50,
02/12/2022,02/03/2022,08:03:17 AM,01455110906,I-880 Alvarado-Niles SB,01,02/03/2022 07:54:52 AM,I-880 Washington/238 Zn SB,01,$11.00,-,$546.25,
02/12/2022,02/08/2022,08:19:07 AM,8YKN695-CA,Dumbarton Bridge,05,-,-,-,$7.00,-,$557.25,
02/10/2022,02/01/2022,05:58:48 AM,01455110906,I-880 Thornton SB,01,02/01/2022 05:49:05 AM,I-880 Washington/238 Zn SB,01,$4.75,-,$564.25,
01/29/2022,01/20/2022,08:17:50 AM,01455110906,I-880 Thornton SB,01,01/20/2022 08:05:23 AM,I-880 Washington/238 Zn SB,01,$15.75,-,$569.00,
01/24/2022,01/24/2022,12:56:12 AM,-,Payments,-,-,-,-,-,$475.00,$584.75,
01/23/2022,01/14/2022,07:43:38 AM,01455110906,I-880 Alvarado-Niles SB,01,01/14/2022 07:34:53 AM,I-880 Washington/238 Zn SB,01,$5.25,-,$109.75,
01/20/2022,01/07/2022,10:34:28 AM,01455110906,I-880 Hesperian/238 NB,01,01/07/2022 10:29:14 AM,I-880 Whipple NB,01,$1.50,-,$115.00,
01/20/2022,01/07/2022,08:02:42 AM,01455110906,I-880 Alvarado-Niles SB,01,01/07/2022 07:53:54 AM,I-880 Washington/238 Zn SB,01,$3.50,-,$116.50,
01/20/2022,01/06/2022,02:42:37 PM,01455110906,I-880 Hesperian/238 NB,01,01/06/2022 02:36:38 PM,I-880 Whipple NB,01,$6.75,-,$120.00,
01/20/2022,01/06/2022,08:43:20 AM,01455110906,I-880 Thornton SB,01,01/06/2022 08:35:48 AM,I-880 Washington/238 Zn SB,01,$3.50,-,$126.75,
01/12/2022,01/03/2022,05:32:28 PM,01455110906,I-880 Hesperian/238 NB,01,01/03/2022 05:25:33 PM,I-880 Whipple NB,01,$2.50,-,$130.25,
01/12/2022,01/03/2022,07:40:51 AM,01455110906,I-880 Thornton SB,01,01/03/2022 07:31:00 AM,I-880 Washington/238 Zn SB,01,$3.00,-,$132.75,
01/08/2022,12/28/2021,03:10:17 PM,01455110906,I-880 Hesperian/238 NB,01,12/28/2021 03:06:33 PM,I-880 Whipple NB,01,$8.50,-,$135.75,
01/07/2022,12/22/2021,01:53:35 PM,01455110906,I-880 Hesperian/238 NB,01,12/22/2021 01:46:35 PM,I-880 Whipple NB,01,$3.75,-,$144.25,
01/03/2022,12/22/2021,07:31:56 AM,01455110906,I-880 Thornton SB,01,12/22/2021 07:18:26 AM,I-880 Washington/238 Zn SB,01,$3.75,-,$148.00,
01/03/2022,12/21/2021,07:35:18 PM,01455110906,I-880 Hesperian/238 NB,01,12/21/2021 07:28:54 PM,I-880 Whipple NB,01,$4.00,-,$151.75,
01/02/2022,12/21/2021,08:43:49 AM,01455110906,I-880 Thornton SB,01,12/21/2021 08:32:53 AM,I-880 Washington/238 Zn SB,01,$5.50,-,$155.75,
01/01/2022,12/20/2021,08:17:00 AM,01455110906,I-880 Thornton SB,01,12/20/2021 08:06:16 AM,I-880 Washington/238 Zn SB,01,$5.00,-,$161.25,
12/30/2021,12/20/2021,08:21:36 AM,6MKY397-CA,Dumbarton Bridge,04,-,-,-,$6.00,-,$166.25,
12/29/2021,12/17/2021,02:04:47 PM,01455110906,I-880 Hesperian/238 NB,01,12/17/2021 01:56:49 PM,I-880 Whipple NB,01,$13.00,-,$172.25,
12/29/2021,12/17/2021,08:21:46 AM,01455110906,I-880 Thornton SB,01,12/17/2021 08:12:03 AM,I-880 Washington/238 Zn SB,01,$10.50,-,$185.25,
12/28/2021,12/16/2021,08:32:49 AM,01455110906,I-880 Thornton SB,01,12/16/2021 08:20:01 AM,I-880 Washington/238 Zn SB,01,$16.75,-,$195.75,
