,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
G,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
G,Sample,08508725,10384472,06883550,10389975,06883610,10390014,08507487,10384387,06883554,10384455,06881600,10384456,06881652,10384371,06881658,10358345,06881605,10384367,08662553,10384477,08669009,10384499,08670443,10384388
G,Cq,24.4871269303296,28.8464737789189,21.5038692962358,26.6979417768761,22.770205337357,23.8428184947228,21.2885932267497,23.7750416498284,21.557092829434,22.4095126741576,27.6899216836388,21.9944440484071,24.0979296635736,19.2852679271434,25.5555253495095,25.8670514325257,26.4819294459822,25.7730612267607,20.3430426194004,24.083912311025,22.5226151995556,23.837562850183,25.9221003413899,24.9677000425557
G,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,10221372,07805015,10221381,07818207,10221376,07819192,07567276,07802588,07567173,07819007,12018130,07607548,08528005,08564220,07652607,08600521,07569201,08564302,07532907,07572832,07569116,08572721,07645387,07799592
H,Cq,20.9250302831173,27.6885003901616,31.1388939582931,23.4936611558931,22.8250986811118,24.3276701029878,20.2811794260576,26.5221880943923,29.1956593258023,27.2682594332572,21.4755376460292,20.6399198963051,24.3508209207617,20.964469939738,22.6065148782848,23.9973501750316,20.8604198972898,23.702118380035,28.4352842932222,24.1588517303955,31.0134995065704,24.8552944846039,25.4962146422275,23.1311602386764
H,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
I,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
I,Sample,06881661,10358421,06723608,10390036,08663461,10390007,06883524,10384532,06883533,10384451,07546485,10384390,06881580,10384464,06881620,10389984,08664810,10384416,06881624,10358349,08664874,10384377,08670053,10390012
I,Cq,28.8004470856994,24.6213418309526,22.057001243114,21.9741601412958,19.0401832706797,26.582687323671,25.465029650813,23.9863760328977,26.3408219386916,23.7805406159478,23.776457322082,24.5685457233706,23.9479751192311,26.2553294036124,24.5926926828996,21.878980829082,28.5627120464074,22.7930938653932,22.4493879742704,22.2813619747086,21.9635256998612,24.7149685577342,27.1855836054044,25.1042817329031
I,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
J,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
J,Sample,10221310,08577162,10221357,08615007,08719898,08615259,07651770,08547241,08767047,07513009,10051976,07818988,07707814,08615734,10051950,08760448,08782218,08759728,10051941,07819412,08784578,07818142,08787251,07795931
J,Cq,18.8926501780659,24.6150733380689,25.4783925489016,22.4905448365723,21.8782618906053,21.4700514544848,22.5975063694422,20.8049858378098,22.9001707696674,22.9514952559667,21.4832693889215,23.2909345129668,24.311104232657,19.2431745323576,22.4659442641712,23.988443007774,23.399019402908,22.8136884208439,21.2893878493571,25.5677888276232,25.4904384686837,24.1451645464155,25.0672107668683,23.5502804738405
J,copy number,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
